Char,Diag,wlen
Joey," Now, see, I don't believe any of that. I think once you're dead, 

you're dead! You're gone! You're worm food! (realizes his tactlessness) ...So 

Chandler looks gay, huh?",28
Phoebe," Y'know, I dunno who this is, but it's not Debbie. (Hands back 

the pencil)",14
Monica," 

Great! (looking at a catalog) That would be the non-protective corrugate 

fiberboard with white laminate.  And we can’t bury Nana in dresser drawer from 

Ikea.",25
Monica," 

Dad, don’t you think this might be more about the fact that...once you make the 

decision, it’s like acknowledging Nana’s actually gone?",22
Monica," ...And then we throw your body in the water... Gee, that does 

sound fun.",14
Chandler," No, nono, don't- don't worry about it. Believe me, 

apparently other people have made the same mistake.",17
Chandler," So, uh... what do you think it is about me?",10
Chandler," Lowell? Financial Services' Lowell, that's who you saw me 

with?",10
Chandler," No! Uh, I d'know! The point is, if you were gonna set me up 

with someone, I'd like to think you'd set me up with someone like him.",28
Chandler," Excuse me? You don't think I could get a Brian? Because I 

could get a Brian. Believe you me. ...I'm really not.",22
Ross, (holding a dress out from inside the closet) This one?,10
Ross," I have shown you everything we have. Unless you want your mother 

to spend eternity in a lemon yellow pant-suit, go with the burgundy.",24
Ross," Oh! A fine choice. I'm coming out. (Starts to climb over the 

furniture)",13
Ross," (forages around) Okay, I have nothing in an evening shoe in the 

burgundy. I can show you something in a silver that may work.",24
Ross," No! Nonono, wait a sec. I may have something in the back.",12
Monica," Mom already called this morning to remind me not to wear my 

hair up. Did you know my ears are not my best feature?",24
Phoebe," (entering) Hi, sorry I'm late, I couldn't find my bearings.",10
Chandler," Well, don't we look nice all dressed up?...It's stuff like 

that, isn't it?",13
Chandler," Nothing, just your overcoat sounds remarkably like Brent 

Muss Berger.",10
Joey," No, it's the pre-game. I'm gonna watch it at the reception.",11
Ross," I know, uh, the air, the-the trees... even though Nana's gone 

there's, there's something almost, uh- I dunno, almost life-aff- (Not looking 

where he is going he falls into an open grave)",32
Phoebe," Okay, don't worry, I'm just checking to see if the muscle's in 

spasm...huh.",13
Chandler," Hi, I'm Chandler, and I have no idea who Dorothy is.",11
Ross," Not the first two, but the second two- woooo! ...I love you 

guys. You guys are the greatest. I love my sister (Kisses Monica), I love Pheebs... 

(Hugs her)",29
Ross," I love you man. (hugs him) And 

listen, man, if you wanna be gay, be gay. Doesn't matter to me.",20
Ross," Rachel. Rachel Rachel. (Sits down beside her)

Oh I do love you.",12
Ross, Oh.. you don't get it! (Passes out and slumps across her),11
Joey," (hides the TV, but he still has an earphone) Just a, uh... 

hearing disability.",14
Rachel," (still trapped under Ross) Pheebs, could you maybe hand me a 

cracker?",12
Monica," Well, sure, what with it being her funeral and all.",10
Monica," That is a wonder. So tell me something, Mom. If you had to do 

it all over again, I mean, if she was here right now, would you tell her?",30
Monica," How she drove you crazy, picking on every little detail, like 

your hair... for example.",15
Monica," Do you think things would have been better if you'd just told 

her the truth?",15
Monica,"  Oh 

look this is my first grade picture. Oh, please ignore the “Dy-no-mite!” 

t-shirt.",14
Ross," Yes, yes, fine, that is my penis. Can we be grown-ups now?",12
Monica," Oh, that's Nana, right there in the middle. (Reads the back) 

'Me and the gang at Java Joe's'. ",18
Rachel," Wow, Monica, you look just like your grandmother. How old was 

she there?",13
Ross, Looks like a fun gang. (They all look at each other and smile),13
Ross," (looking) Nono, that would be me again. I'm, uh, just trying 

something.",12
Chandler," Good, good. Listen, heh, I don’t know what Shelley told you 

about me, but, uh... I'm not.",17
Chandler," Out of my league. I could get a Brian. (Brian enters behind 

him) If I wanted to get a Brian, I could get a Brian. (Sees him) Hey, Brian.",29
Rachel," Terry, I, I, I know that I haven't worked here very long, but 

I was wondering, do you think it would be possible if I got a $100 advance in my 

salary?",32
Rachel," It's so that I can spend Thanksgiving with my family. See, 

every year we go skiing in Vail, and normally my father pays for my ticket, but 

I sort of started the whole independence thing, you know, which is actually why 

I took this job.",45
Rachel," Ok, I, I hear what you're sayin'. I'm with you. Um, but I, but 

I'm trying really hard. And I think I'm doing better. I really do. Does anybody 

need coffee? (everyone in the place raises their hand) Oh, look at that.",42
Rachel," Excuse me, sir. Hi, you come in here all time. I was just 

wondering, do you think there's a possibility that you could give me an advance 

on my tips?",30
Rachel," Ok, ok, that's fine. Fine. Hey, I'm sorry about that spill 

before. (picks up the tip he leaves) Only $98.50 to go. ",22
Monica," Hey. Ross, did you know Mom and Dad are going to Puerto Rico 

for Thanksgiving?",15
Chandler," And this from the cry-for-help department. Are you wearing 

makeup?",10
Joey," Yes, I am. As of today, I am officially Joey Tribbiani, actor 

slash model.",14
Chandler," That's so funny, 'cause I was thinking you look more like 

Joey Tribbiani, man slash woman.",16
Monica," Oh, wow, so you're gonna be one of those ""healthy, healthy, 

healthy guys""?",13
Joey," No, but I hear lyme disease is open, so... (crosses fingers) ",11
Ross," (to Monica) Well, you were right. How can they do this to us, 

huh? It's Thanksgiving. ",16
Monica," Ok, I'll tell you what. How about I cook dinner at my place? 

I'll make it just like Mom's.",19
Monica," You know, they're not actually supposed to have... (Ross looks 

at her sheepishly) I'll work on the lumps. Joey, you're going home, right?",23
Monica," And I assume, Chandler, you are still boycotting all the 

pilgrim holidays.",12
Phoebe," Yes, and her boyfriend. But we're celebrating Thanksgiving in 

December 'cause he is lunar.",14
Monica," Yeah. Rach, are you thinking you're gonna make it to Vail?",11
Rachel," Absolutely. Shoop, shoop, shoop. Only a hundred and two 

dollars to go.",12
Ross," (mimicking) Ooh, ooh. Because she's my ex-wife, and will 

probably want to bring her, ooh, ooh, lesbian life partner.",19
Ross," Oh, I uh, just came by to pick up my skull. Well, not mine, 

but...",15
Ross," Thanks. Yeah, Carol borrowed it for a class, and I have to get 

it back to the museum.",18
Ross," Ok. (browsing the apartment) Wow, you guys sure have a lot of 

books about bein' a lesbian.",17
Ross," (picking up a book) Hey, hey, Yertle the Turtle. A classic.",11
Ross," The uh, the baby that hasn't been born yet? Wouldn't that mean 

you're... crazy?",14
Ross," You're not serious, I mean, you really... you really talk to it?",12
Ross," Look, if she's talking to it, I just think that I should get 

some belly time too. Not that I believe any of this.",24
Phoebe," Oh, I believe it. I think the baby can totally hear 

everything. I can show you. Look, this will seem a little weird, but you put 

your head inside this turkey, and then we'll all talk, and you'll hear 

everything we say.",42
Chandler," I'd just like to say that I'm totally behind this 

experiment. In fact, I'd very much like to butter your head.",21
Rachel," No, not even close. Forget Vail, forget seeing my family, 

forget shoop, shoop, shoop.",14
Monica," (hands Chandler a bag) Chandler, here you go, got your 

traditional Thanksgiving feast, you got your tomato soup, your grilled cheese 

fixin's, and your family size bag of Funyuns.",29
Rachel," Wait, wait, Chandler, this is what you're havin' for 

Thanksgiving dinner? What, what, what is it with you and this holiday? ",21
Chandler," We just finished this magnificent Thanksgiving dinner. I 

have--and I remember this part vividly--a mouthful of pumpkin pie, and this is 

the moment my parents choose to tell me they're getting divorced.",32
Chandler," Yes. It's very difficult to appreciate a Thanksgiving dinner 

once you've seen it in reverse.",15
Ross," 

(picks up a yam) Ohhh, what’s this? I never saw this at mom’s",13
Ross," 

Hello? This isn’t a yam. Yam comes in a….purple cans. They don’t-they don’t come 

in these.


",16
Phoebe," K, 

Ross don’t take this the wrong way or anything but…Back off!",12
Joey," Yeah, at Macy's. You were the Obsession girl, right? I was the 

Aramis guy. (pretends to spray cologne) Aramis? Aramis? ",20
Joey, I gotta tell you. You're the best in the business.,10
Joey," I'm serious. You're amazing. You know when to spritz, when to 

lay back.",13
Joey," Huhh. Listen, uh, you wanna go get a drink or something?",11
Phoebe," No, we were just laughing. You know, how laughter can be 

infectious.",12
Joey," Set another place for Thanksgiving. My entire family thinks I 

have VD.",12
Monica," Mmm, looking good. Ok, cider's mulling, turkey's turking, yams 

are yamming. (notices Ross is depressed) What?",16
Ross, I don't know. It's just not the same without Mom in the kitchen.,13
Monica," All right, that's it. You know what? Just get out of my way 

and stop annoying me.",17
Rachel," I got the tickets! I got the tickets! Five hours from now, 

shoop, shoop, shoop.",15
Chandler," No, I prefer to keep a safe distance from all this 

merriment.",12
Chandler," Ok, we all laughed when you did it with the stuffing, but 

that's not funny anymore.",16
Joey," Hey, Monica, I got a question. I don't see any tater tots.",12
Joey," But my mom always makes them. It's like a tradition. You get a 

little piece of turkey on your fork, a little cranberry sauce, and a tot! It's 

bad enough I can't be with my family because of my disease.",40
Monica," All right, fine. Tonight's potatoes will be both mashed with 

lumps, and in the form of tots.",17
Monica," What, Phoebe, did you whip the potatoes? Ross needs lumps!",10
Phoebe," Oh, I'm sorry, oh, I just, I thought we could have them 

whipped and then add some peas and onions.",20
Phoebe," Well, 'cause then they'd be like my mom used to make them, you 

know, before she died.",17
Rachel," Ok, good-bye you guys. Thanks for everything. (she starts to 

leave, and hits everyone with her skis) Oh, sorry! Oh, sorry!",21
Chandler," The most unbelievable thing has happened. Underdog has just 

gotten away.",11
Chandler," No, no, the actual cartoon character. Of course the balloon. 

It's all over the news. Right before he reached Macy's, he broke free 

and was spotted flying over Washington Square Park. I'm goin' to the roof, who's 

with me?",39
Chandler," Come on. An 80-foot inflatable dog let loose over the city. 

How often does that happen?",16
Ross," Ok, ok, here we go. (he crouches down near her stomach) Ok, 

where am I talking to, here? I mean, uh, well, there is one way that seems to 

offer a certain acoustical advantage, but...",35
Ross," Ok, ok, ok, ok, here goes. You know, I, you know, can't do this. 

Uh, this is too weird. I feel stupid.",22
Rachel," I loved the moment when you first saw the giant dog shadow all 

over the park.",16
Phoebe," Yeah, but did they have to shoot him down? I mean, that was 

just mean.",15
Monica," Ok, right about now the turkey should be crispy on the 

outside, juicy on the inside. Why are we standing here?",21
Rachel, We're waiting for you to open the door. You got the keys.,12
Rachel," Yes, you do. When we left, you said, ""got the keys.""",11
Ross," And everyone's telling me, you gotta pick a major, you gotta 

pick a major. So, on a dare, I picked paleontology. And you have no idea what 

I'm saying, because, let's face it, you're a fetus. You're just happy you don't 

have gills anymore.",44
Ross," Oh, please. I am not singing to your stomach, ok?",10
Ross," Shh! (singing) Here we come, walkin' down the street, get 

the funniest looks from, everyone we meet. Hey, hey! (to Carol) Hey, uh, 

did you just feel that?",28
Ross," (singing) Hey, hey, you're my baby, and I can't wait to meet 

you. When you come out I'll buy you a bagel, and then we'll go to the zoo.",29
Ross," (singing) Hey, hey, I'm your daddy. I'm the one without any 

breasts.",12
Rachel," 

 Oh, this is just really great! 5 o’clock, my plane is pulling away from the 

gate.",16
Phoebe," K, 

look if I’m going to try to cheer you up, you’re going to have to meet me half 

way.",20
Joey," Hey, I got one keyhole and about a zillion keys. You do the 

math.",14
Monica, Why do you guys have so many keys in there anyway?,11
Rachel," (grabs Chandler by the shirt) All right, listen, smirky. If it 

wasn't for you and your stupid balloon, I would be on a plane watching a woman 

do this (makes a gesture like a stewardess pointing out exits) right now. But 

I'm not.",43
Rachel," No, I didn't. I wouldn't say I had the keys unless I had the 

keys, and I obviously didn't have the keys.",22
Phoebe," Ooh, ok, that's it. Enough with the keys. No one say keys.",12
Rachel, Aside from the fact that you said you had them?,10
Monica," Why? Because everything is my responsibility? Isn't it enough 

that I'm making Thanksgiving dinner for everyone? You know, everyone wants a 

different kind of potatoes, so I'm making different kinds of potatoes. Does 

anybody care what kind of potatoes I want? Nooooo, no, no! (starting to cry) 

Just as long as Phoebe gets her peas and onions, and Mario gets his tots, and 

it's my first Thanksgiving, and it's all burned, and, and I... I...",75
Chandler," Ok, Monica, only dogs can hear you now, so, look, the door's 

open. Here we go.",16
Joey,"  All 

right, Chandler don’t lose this. (throws it do the drawer with all the other 

zillion keys)",17
Monica," Well, the turkey's burnt. (checking pots) Potatoes are ruined, 

potatoes are ruined, potatoes are ruined.",15
Ross," Here we come, walkin' down the—this doesn't smell like Mom's.",10
Monica," No, it doesn't, does it? But you wanted lumps, Ross? (picks up 

the pan of badly burnt potatoes) Well, here you go, buddy, ya got one.",26
Ross," Oh 

don’t yell at me, you’re the one who burnt dinner.",11
Rachel," Oh, god, this is great! The plane is gone, so it looks like 

I'm stuck here with you guys.",19
Joey," Hey, we all had better plans. This was nobody's first choice.",11
Monica," Oh, really? So why was I busting my ass to make this delicious 

Thanksgiving dinner?",15
Phoebe," Ugly Naked Guy's taking his turkey out of the oven. (Everyone 

is less than enthused). Oh he’s adding gravy. 

Oh my god. He's not alone. Ugly Naked Guy's having Thanksgiving dinner with Ugly 

Naked Gal.",35
Chandler," Ok, who wants light cheese, and who wants dark cheese?",10
Phoebe," Come on, you know, Thanksgiving. Ooh, you got the bigger half. 

What'd you wish for?",15
Chandler," I'd like to propose a toast. Little toast here, ding ding. I 

know this isn't the kind of Thanksgiving that all of you all planned, but for 

me, this has been really great, you know, I think because it didn't involve 

divorce or projectile vomiting. Anyway, I was just thinking, I mean, if you'd 

gone to Vail, and if you guys'd been with your family, if you didn't have 

syphilis and stuff, we wouldn't be all together, you know? So I guess what I'm 

trying to say is that I'm very thankful that all of your Thanksgivings sucked.",98
Phoebe," Oh 

and look Ugly Naked Guy is hanging candy canes.  (Rachel runs up to the window)",16
Rachel," 

 Where? (Phoebe points) Ohhh, wow (not sure what to make of it)…that’s festive.


",13
Phoebe," That is so cruel! Why? Why would a parent name their child 

Bethel?",13
Monica," Ross, is he gonna live with you, like, in your apartment?",11
Ross," Yeah. I mean, it's been kinda quiet since Carol left, so...",11
Ross," Nah, I dunno... I think you reach a certain age, having a 

roommate is kinda pathet- (Realizes) ....sorry, that's, that's 'pathet', which 

is Sanskrit for 'really cool way to live'.",30
Phoebe," So you guys, I'm doing all new material tonight. I have twelve 

new songs about my mother's suicide, and one about a snowman.",23
Ross, How could you not get it? You were Santa last year.,11
Joey," I dunno. Some fat guy's sleeping with the store manager. He's 

not even jolly, it's all political.",17
Joey," Ah, I'm gonna be one of his helpers. It's just such a slap in 

the face, y'know?",17
Rachel," Hey, do you guys know what you're doing for New Year's? (They 

all protest and hit her with cushions) Gee, what?! What is wrong with New 

Year's?",27
Rachel," Well, for your information, Paolo is gonna be in Rome this New 

Year, so I'll be just as pathetic as the rest of you. ",24
Ross," (like 

a detective) It’s perfect. We’ll put it between lunch and breakfast. (does 

popping sound with lips)",17
Chandler," It's just that I'm sick of being a victim of this Dick Clark 

holiday. I say this year, no dates, we make a pact. Just the six of us- dinner.",30
Rachel," (Into microphone) Okay, hi. Ladies and gentlemen, back by 

popular demand, Miss Phoebe Buffay. Wooh!",15
Phoebe," Well, c'mon, if it's important enough to discuss while I'm 

playing, then I assume it's important enough for everyone else to hear!",22
Chandler," (Quietly, to the others) That guy's going home with a note!",11
Phoebe," Okay, we're gonna take a short break. (Goes over to their 

table)",12
Joey," Hey, that guy's going home with more than a note!",10
Rachel," Pheebs, I can't believe he hasn't kissed you yet. I mean God, 

by my sixth date with Paolo, I mean he had already named both my breasts! 

...Ooh. Did I just share too much?",34
Phoebe, Me too! Oh! Did you ever see An Officer and a Gentleman?,12
Phoebe," Well, he's kinda like the guy I went to see that with. Except, 

except he-he's smarter, and gentler, and sweeter... I just- I just wanna be with 

him all the time. Day and night, and night and day... and special occasions...

",41
Chandler," Wait a minute, wait a minute, I see where this is going, 

you're gonna ask him to New Year's, aren't you? You're gonna break the pact. 

She's gonna break the pact.",31
Phoebe," No, no, no, no, no, no. Yeah, could I just?",10
Chandler," I snapped, okay? I couldn't handle the pressure and I 

snapped.",11
Monica," Yeah, but Janice? That-that was like the worst breakup in 

history!",11
Chandler," I'm not saying it was a good idea, I'm saying I snapped!",12
Joey," Nice shoes, huh? (He wiggles his foot and the bells tinkle)",11
Ross," I didn't wanna leave him alone. Alright? We- we had our first 

fight this morning. I think it has to do with my working late. I said some 

things that I didn't mean, and he- he threw some feces...",39
Chandler," Y'know, if you're gonna work late, I could look in on him 

for you.",14
Ross," Oh, that'd be great! Okay, but if you do, make sure it seems 

like you're there to see him, okay, and you're not like doing it as a favor to 

me.",31
Chandler," Okay, but if he asks, I'm not going to lie.",10
Phoebe," Oh, David, I, I think you are a sweeping sorta fella. I mean, 

you're a sweeper! ...trapped inside a physicist's body.",21
Phoebe," Oh, yeah, oh, I'm sure of it. You should just do it, just 

sweep and throw me. ",17
Ross," So tell me something. What does the phrase 'no date pact' mean 

to you?",14
Monica," I'm sorry, okay. It's just that Chandler has somebody, and 

Phoebe has somebody- I thought I'd ask Fun Bobby.",19
Rachel," (Brings Joey a mug of coffee) Okay, here we go...",10
Rachel," (Glances at Joey and then sips his coffee) There. Now there 

is.",12
Ross," Okay, so on our no-date evening, three of you now have dates.",12
Joey," Yeah, and I met this really hot single mom at the store. What's 

an elf to do?",17
Ross," Okay, so I'm gonna be the only one standing there alone when the 

ball drops?",15
Rachel," Oh, c'mon. We'll have, we'll have a big party, and no-one'll 

know who's with who.",15
Ross," Yeah, well I’ll know. Hey, 

y'know, this is so not what I needed right now.",15
Ross," Oh, it's-it's Marcel. He’s angry with 

me again. I have no idea why. He keeps shutting me out, y'know? He's 

walking around all the time dragging his hands... ",28
Chandler," That's so weird, I had such a blast with him the other 

night.",13
Chandler," Yeah, we played, we watched TV.. that juggling thing is 

amazing.",11
Chandler, With the balled-up socks? I figured you taught him that.,10
Chandler," Y'know, it wasn't that big a deal. He just balled up 

socks... and a melon...",15
Chandler," 

 And if you’re going to do Minsk, y’know, that’s the only way to go.",14
Phoebe," Um, well, Max told me about Minsk, so (Puts on a fake cheery 

voice) congratulations! This is so exciting!",19
Joey," Sandy! Hi! C'mon in! (She enters, followed by a young boy and a 

younger girl)...You brought your kids.",18
Ross," 'That thing'? This is how you greet guests at a party? Let me 

ask you something, if I showed up here with my new girlfriend, she wouldn't be 

welcome in your home?",32
Monica," I'm thinking your new girlfriend wouldn't urinate on my coffee 

table.",11
Ross," Okay. He was more embarrassed about that than anyone. Okay? And 

for him to have the courage to walk back in here like nothing happened...",25
Ross," Thank you. (She walks off) C'mon, Marcel, whaddya say you and I 

do a little mingling? (Marcel runs off) Alright, I'll, uh... catch up with you 

later.",27
Monica," Oh my gosh! Rachel, honey.. are you okay? Where-where's Paolo?",10
Rachel," No. Okay. I was at the airport, getting into a cab, when this 

woman- this blonde planet with a pocketbook- starts yelling at me. Something 

about how it was her cab first. And then the next thing I know she just starts- 

starts pulling me out by my hair! So I'm blowing my attack whistle thingy and 

three more cabs show up, and as I'm going to get into a cab she tackles me. And 

I hit my head on the curb and cut my lip on my whistle...oh...everybody having 

fun at the party? (To Monica) Are people eating my dip?",101
Rachel," 
It’s hard for me to tell. My eye’s closing up. 

",10
Monica," 

 Let me get it for ya. (pencils in on her lip) Ok.",12
Rachel,"  Ok 

here we go! Screw Paolo. Screw that psycho cab lady. It’s New Years Eve.  Let’s 

have a good time.


",20
Monica," Ok. 

All right there you go. (Rachel walks the wrong way.) No this way.  You’re fine. 

There you go.


",19
Ross," (Watching Marcel play with Phoebe. To Chandler) Look at him. I'm 

not saying he has to spend the whole evening with me, but at least check in.",27
Rachel," 

(walks up to a guy) Hi. I’m Rachel. So whose friend are you? (takes a sip of her 

drink but ends up leaking onto her chest. She laughs it off.) Look at me! 

Spilling everywhere. Huh….


",36
Monica," 

 Bobby? Fun Bobby?  Let me talk to you for just a sec. (Bobby gets up and both 

him and Monica walk away from everyone else.)   Umm, look a..I recently lost a 

grandparent myself, so I’m really know exactly how you feel. But a…you’re 

really bringing the party down.


",48
Monica," 

(interrupts) Yeah, yeah ok.  (places a noisemaker in his mouth) There you go. 

(He blows the noisemaker unhappily.) There you go!",21
Chandler," Alright, Janice, that's it! Janice... Janice... Hey, Janice, 

when I invited you to this party I didn't necessarily think that it meant that 

we-",24
Chandler," Oh, will you give me the thing. (Snatches the camera)",10
Phoebe," Oh, you are so going to Minsk. You belong in Minsk. You can't 

stay here just 'cause of me.",19
Phoebe," Oh yes, yes, yes you can. Just say, um, 'Phoebe, my work is my 

life and that's what I have to do right now'. And I say 'your work?! Your work?! 

How can you say that?!'. And then you say, um, 'it's tearing me apart, but I 

have no choice. Can't you understand that?'. And I say (Hits him) 'no! No! I 

can't understand that!'.",65
Phoebe," Ooh, sorry. Um, and, and then you put your arms around me. And 

then you put your arms around me. (He does so) And, um, and then you tell me 

that you love me and you'll never forget me.",39
Phoebe," And then you say that it's almost midnight and you have to go 

because you don't wanna start the new year with me if you can't finish it. (They 

kiss) I'm gonna miss you. You scientist guy.",37
Chandler," (To a woman who he has clearly just met) And then the 

peacock bit me. (Laughs) Please kiss me at midnight. (She leaves)",23
Chandler," Ooh. Uh, I don't know how to tell you this, but she's in 

Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at 

that, I did know how to tell you.",34
Chandler," Y'know, I uh.. just thought I'd throw this out here. I'm no 

math whiz, but I do believe there are three girls and three guys right here. 

(Makes kiss noise)",30
Phoebe, I don’t know. I don't feel like kissing anyone tonight.,10
Chandler," Alright, somebody kiss me. Somebody kiss me, it's midnight! 

Somebody kiss me!",12
Ross," (Watching Marcel and talking to Rachel) I wanted this to work so 

much. I mean I'm still in there, changing his diapers, pickin' his fleas... but 

he's just phoning it in. Just so hard to accept the fact that something you love 

so much doesn't love you back. Y’know?",49
Phoebe," Just wanna check my horoscope, see if it was right.",10
Monica," Oh my God. (Grabs Phoebe and turns her away) Phoebe. Don't 

look now, but behind us is a guy who has the potential to break our hearts and 

plunge us into a pit of depression. ",35
Monica," No it’s mine. And why did I 

'woo-hoo'? I mean, what was I hoping would happen? That-that he'd turn round and 

say 'I love that sound, I must have you now'?",31
Phoebe," I just wish there was something we could do. (Bends down and 

talks to him) Hello. Hello, Coma Guy. GET UP, YOU GIRL SCOUT! UP! UP! UP!",27
Phoebe," I 

know. I hate that they are calling him John Doe.  How sad! It’s like he’s a 

deer, a female deer…(Monica stops her) Oh I was going to stop.


",29
Monica," Look at that face. I mean, even sleeping, he looks smart. ",11
Phoebe," Yeah, but did you see the dents in his knuckles? That means 

he's artistic.",14
Monica," Okay, he's a lawyer, who teaches sculpting on the side. And- 

he can dance!",14
Phoebe," Oh! And, he's the kinda guy who, when you're talking, he's 

listening, y'know, and not saying 'Yeah, I understand' but really wondering what 

you look like naked.",27
Ross," I 

don’t get it. You guys don’t even know this guy.",11
Chandler,"  Yeah. Are there no 

conscious men in the city for you two?",12
Joey, I can't believe you said woowoo. I don't even say woowoo.,11
Rachel," Oh, she's coming up! She's coming up! (Turns on the TV)",11
Chandler," Y'know, we don't have to watch this. Weekend At Bernie's 

is on Showtime, HBO, and Cinemax.",16
Chandler," Exactly. Weekend At Bernie's! Dead guy getting hit 

in the groin twenty, thirty times! No?",15
Rachel," Chandler, I gotta tell you, I love your mom's books! I love 

her books! I cannot get on a plane without one! I mean, this is so cool!",28
Chandler," Yeah, well, you wouldn't think it was cool if you're eleven 

years old and all your friends are passing around page 79 of 'Mistress Bitch.'",25
Joey," Oh 

yeah the thing after the opera with the girl with the trick hip. Huh? (Chandler 

looks at him. So he stops.)


",22
Ross," C'mon, Chandler, I love your mom. I think she's a blast.",11
Ross," Ah, so then his plane didn't explode in a big ball of fire?... 

Just a dream I had- but, phew.",20
Chandler, This is the way that I find out. Most moms use the phone.,13
Monica," Let's see. Congress is debating a new deficit reduction 

bill... the mayor wants to raise subway fares again... the high today was 

forty-five... and- oh, teams played sports.",28
Chandler," Well, I think you need to come out of your shell just a 

little.",14
Ross," (Entering) What is this dive? Only you could've picked this 

place.",11
Rachel," Hi! Sorry- sorry we're late, we, uh, kinda just, y'know, lost 

track of time.",14
Rachel," Mrs. Bing, I have to tell you, I've read everything you've 

ever written. No, I mean it! I mean, when I read Euphoria at Midnight, all I 

wanted to do was become a writer.",34
Ross," Yeah, I'm fine, I'm fine. (A woman emerges from the toilet 

behind him and he tries to pretend he was in the other one)",24
Ross," Okay, uh, about last night, um, Chandler.. you didn't tell... 

(Joey shakes his head) Okay, 'cause I'm thinking- we don't need to tell 

Chandler, I mean, it was just a kiss, right? One kiss? No big deal? Right?",38
Joey," You don't kiss your friend's mom! Sisters are okay, maybe a hot-lookin' 

aunt... but not a mom, never a mom!",20
Ross," Uh.. uh.. Well, Joey and I had discussed getting in an early 

morning racquetball game. But, um, apparently, somebody overslept.",20
Ross," No, no I don't, because it's being restrung, somebody was 

supposed to bring me one.",15
Joey," Yeah, well you didn't call and leave your grip size.",10
Chandler," Okay, you guys spend waaaay too much time together. (Goes 

back inside and shuts the door)",16
Ross," I don't know, God, I... well, it's not like she's a regular mom, 

y'know? She's, she's sexy, she's...",18
Joey," I'll have you know that Gloria Tribbiani was a handsome woman in 

her day, alright? You think it's easy giving birth to seven children?",24
Ross," Okay, I think we're getting into a weird area here...",10
Ross," No, I’m not going to tell him. 

Why would I tell him?",12
Phoebe," Nothing, I just thought I'd stop by.. y'know, after the uh... 

that I.. y'know, so what are you doing here?",20
Monica," I'm not really here. Just thought I'd drop these off...on the 

way.. my way... Do you come here a lot? Without me?",22
Phoebe," No. (Monica brushes Coma Guy's hair in the other direction) 

No! No! ...So, um, do you think he's doing any better than he was this morning?",26
Phoebe," Really? Not even to, um, change his PAJAMAS?! (Whips back the 

sheet to reveal him wearing new pajamas.)",18
Ross," Yeah, um, I don't know if you noticed, but he had a lot to 

drink, and you know how he gets when he's drun..uh... (He has caught sight of 

Joey scowling at him) I can't do this, I did it, it was me, I'm sorry, I kissed 

your mom.",49
Ross," I was really upset about Rachel and Paolo, and I think I had too 

much tequila, and Nora- um, Mrs. Mom- your Bing- was just being nice, y'know, 

and- But nothing happened, nothing- Ask Joey, Joey, uh, came in-",39
Chandler," I spent the entire day with you, why didn't you tell me?!",12
Joey," Hey, hey, hey, you're lucky I caught them when I did, or else 

who knows what would have happened.",19
Chandler," (To Ross) I can't believe this! What the hell were you 

thinking?",12
Chandler," Y'know, of all my friends, no-one knows the crap I go 

through with my mom more than you. ",18
Chandler, I can't believe you did this. (Walks toward the door),10
Chandler, You gotta let me slam the door! (Leaves; slams the door),11
Joey," (Shouting after him) Chandler, I didn't kiss her, he did! (To 

Ross) See what happens when you break the code?",20
Joey, Ah! (Points to door) Huh? (Leaves and slams the door),10
Rachel," Yeah. Thought I'd give it a shot. I'm still on the first 

chapter. Now, do you think his 'love stick can be liberated from its denim 

prison'?",27
Monica," (Reads) Yeah, I'd say so. And there's no 'j' in 'engorged'.",11
Phoebe," Okay, maybe it was a trick question. (Plays a few chords) Um, 

Rachel can we do this now?",18
Joey," (To Ross, on the couch) Now, here's a picture of my mother and 

father on their wedding day. Now you tell me she's not a knockout.",26
Joey," C'mon! Just try to picture her not pregnant, that's all.",10
Rachel," (Into microphone) Central Perk is proud to present Miss Phoebe 

Buffay.",11
Chandler," Yeah, I believe I was talking to Joey, all right there, 

Mother-Kisser? (Goes to the counter)",16
Ross," Chandler, can I just say something? I-I know you're still mad at 

me, I just wanna say that there were two people there that night. Okay? Two sets 

of lips.",30
Chandler," Yes, well, I expect this from her. Okay? She's always been a 

Freudian nightmare. ",14
Ross," Okay, well, if she always behaves like this, why don't you say 

something?",13
Chandler," Because it's complicated, it's complex- Hey, you kissed my 

mom!",10
Ross, (To the rest of Central Perk) We're rehearsing a Greek play.,11
Ross," No! Okay, you mean, you're not gonna talk to her, you're not 

gonna tell her how you feel?",18
Chandler," That would be no. Look, just because you played tonsil 

tennis with my mom doesn't mean you know her. All right? Trust me, you can't 

talk to her.",28
Ross," Okay, 'you' can't, or (Points to Chandler) you can't? (Chandler 

grabs his finger) Okay, that's my finger. (Chandler twists it and Ross goes down 

on one knee) That's, that's my knee. (To Central Perk) Still doing the play. 

Aaah!",39
Monica," Oh, I don't know. Maybe, um, ""That was nice?"" It something to 

me? ""I'll call you?"" ",16
Monica," This is so typical. Y'know, we give, and we give, and we give. 

And then- we just get nothing back! And then one day, y'know, it's just, you 

wake up, and ""See you around!"" Let's go, Phoebe.",37
Phoebe," Y'know what? We thought you were different. But I guess it was 

just the coma.",15
Chandler, You kissed my best Ross! ...Or something to that effect.,10
